Country,Region,Increase,Decrease,Net
Liberia,Sub-Saharan Africa,0.7277117819289676,0.11704710403042667,0.610664677898541
Libya,Middle East and North Africa,0.7096330822048116,0.20872493539210463,0.500908146812707
Lithuania,Europe,0.2038982378747596,0.4082398121651298,-0.20434157429037017
Luxembourg,Europe,0.4670189232883757,0.40193042561638065,0.06508849767199504
Madagascar,Sub-Saharan Africa,0.6981975542335416,0.16818998216958697,0.5300075720639545
Malawi,Sub-Saharan Africa,0.6399971086838113,0.2482421604839784,0.3917549481998329
Malaysia,Asia,0.5434278706526687,0.24934869605950588,0.29407917459316285
Mali,Sub-Saharan Africa,0.5667933414596019,0.16462070598758205,0.40217263547201987
Malta,Europe,0.7077014664065073,0.17882604529672766,0.5288754211097797
Mauritania,Sub-Saharan Africa,0.3396904201577415,0.17348312235731278,0.1662072978004287
Mauritius,Sub-Saharan Africa,0.6354904438657519,0.28896032956740525,0.3465301142983467
Mexico,Americas,0.6119433545311429,0.2943703479890641,0.3175730065420788
Moldova,Former Soviet Union,0.3169556295632846,0.39823928999721203,-0.08128366043392743
Mongolia,Asia,0.6172384432822475,0.14226005653072882,0.4749783867515187
Montenegro,Europe,0.2695194845451452,0.3838498269579849,-0.11433034241283974
Morocco,Middle East and North Africa,0.48490985124821756,0.2190164969665673,0.2658933542816503
Mozambique,Sub-Saharan Africa,0.6742598398998492,0.15164767610534158,0.5226121637945076
Myanmar,Asia,0.8431341274734089,0.037805010271104285,0.8053291172023046
Namibia,Sub-Saharan Africa,0.6309161967896258,0.2713116360213102,0.35960456076831565
Nepal,Asia,0.7038937133834909,0.06918855095768345,0.6347051624258075
Netherlands,Europe,0.504879065996652,0.4552611503259879,0.04961791567066409
New Zealand,Other/Unclassified,0.4438301096092709,0.3847008125411035,0.059129297068167386
Nicaragua,Americas,0.49573461504921673,0.35650668402494046,0.13922793102427627
Niger,Sub-Saharan Africa,0.6199747923241177,0.13545884081479856,0.48451595150931914
Nigeria,Sub-Saharan Africa,0.7431874116049376,0.08711664882008288,0.6560707627848548
Northern Cyprus,Other/Unclassified,0.5158565057156105,0.27490890813758656,0.24094759757802392
Norway,Europe,0.5315435416300179,0.4135091350681454,0.11803440656187253
Pakistan,Asia,0.6194657657997142,0.11620818950710073,0.5032575762926135
Palestine,Other/Unclassified,0.5933664491099147,0.27093699270120913,0.3224294564087055
Panama,Americas,0.4798030102939757,0.3341376883650604,0.1456653219289153
Paraguay,Americas,0.45302884397849286,0.2827025956217815,0.17032624835671134
Peru,Americas,0.5087605756129842,0.3433912440744921,0.16536933153849204
Philippines,Asia,0.7613542211505333,0.1685454364226679,0.5928087847278654
Poland,Former Soviet Union,0.34541068510541,0.2435465229372486,0.10186416216816141
Portugal,Europe,0.4476959158530402,0.41227836404678636,0.03541755180625383
Romania,Former Soviet Union,0.411876776729814,0.37745198725732804,0.03442478947248595
Rwanda,Sub-Saharan Africa,0.6158184041076981,0.20529406157742597,0.4105243425302721
Saudi Arabia,Middle East and North Africa,0.6968604515422243,0.2695964472684481,0.4272640042737762
Senegal,Sub-Saharan Africa,0.5322092768534495,0.1557551690489021,0.37645410780454747
Serbia,Europe,0.2612387487382966,0.41988005560831465,-0.15864130687001804
Sierra Leone,Sub-Saharan Africa,0.6571606657560849,0.12408734731938222,0.5330733184367027
Singapore,Asia,0.5373665161583182,0.24685738379429936,0.2905091323640189
Slovakia,Former Soviet Union,0.33161024410295314,0.3177308548729025,0.013879389230050665
Slovenia,Europe,0.4571428330791322,0.49135988496044836,-0.03421705188131613
South Africa,Sub-Saharan Africa,0.61082137260819,0.29279577647388044,0.3180255961343096
Spain,Europe,0.41903209346562825,0.45395492953265576,-0.03492283606702751
Sri Lanka,Asia,0.6940414515596277,0.1211290063345454,0.5729124452250823
Sweden,Europe,0.48438713675880407,0.3700762812880064,0.11431085547079767
Switzerland,Europe,0.33404052287949904,0.4822225878271923,-0.14818206494769326
Taiwan,Asia,0.34958724910901834,0.49624972223814173,-0.1466624731291234
Tajikistan,Former Soviet Union,0.7583979108223389,0.07727125158317784,0.681126659239161
Tanzania,Sub-Saharan Africa,0.7445426736779628,0.17050440736085037,0.5740382663171124
Thailand,Asia,0.5476469594344711,0.19390087585761231,0.35374608357685877
The Gambia,Sub-Saharan Africa,0.7928711408301904,0.0755541880891943,0.717316952740996
Togo,Sub-Saharan Africa,0.5078708180051256,0.18205163468261934,0.32581918332250626
Tunisia,Middle East and North Africa,0.45520979872015077,0.29632245808874697,0.1588873406314038
Turkey,Middle East and North Africa,0.43760291971154947,0.34418502501334397,0.0934178946982055
Turkmenistan,Former Soviet Union,0.4791838545053048,0.07197298433170086,0.40721087017360397
Uganda,Sub-Saharan Africa,0.64942016961502,0.2274665990128563,0.42195357060216376
Ukraine,Former Soviet Union,0.21781182100410854,0.2643893426076242,-0.046577521603515665
United Arab Emirates,Middle East and North Africa,0.6143861925060105,0.3081969528316223,0.30618923967438816
United Kingdom,Europe,0.4494478061234522,0.3846823973045115,0.06476540881894072
United States,Americas,0.6101721482434861,0.27652445382279667,0.3336476944206894
Uruguay,Americas,0.3443226702598372,0.5080358573273915,-0.16371318706755433
Uzbekistan,Former Soviet Union,0.8587000335358894,0.08032707756506667,0.7783729559708228
Venezuela,Americas,0.5558759035290712,0.32731952196259656,0.22855638156647468
Vietnam,Asia,0.6059584428924089,0.12500524996038587,0.480953192932023
Yemen,Middle East and North Africa,0.5687989959745734,0.07218198710055455,0.49661700887401883
Zambia,Sub-Saharan Africa,0.6385201683285352,0.1665587830594232,0.471961385269112
Zimbabwe,Sub-Saharan Africa,0.6228479225266816,0.1436564120262982,0.47919151050038344
